AAEL000001	bystin
AAEL000223	alpha-glucosidase
AAEL000224	serine protease
AAEL000225	oviductin
AAEL000226	conserved hypothetical protein
AAEL000227	ClassB Scavenger Receptor (CD36 domain).
AAEL000228	leucine rich repeat containing 16, putative
AAEL000229	Prosialokinin Precursor [Contains Sialokinin(Sialokinin-1)(Sialokinin I)(Sia I)(Sialokinin-2)(Sialokinin II)(Sia II)]
AAEL000230	conserved hypothetical protein
AAEL000231	oligopeptidase
AAEL000232	forkhead box protein (AaegFOXX)
AAEL000233	membrane-associated guanylate kinase, putative
AAEL000234	ClassB Scavenger Receptor (CD36 domain).
AAEL000235	hypothetical protein
AAEL000236	hypothetical protein
AAEL000237	hypothetical protein
AAEL000238	Clip-domain serine protease, family D.
AAEL000239	clathrin coat assembly protein
AAEL000240	conserved hypothetical protein
AAEL000241	conserved hypothetical protein
AAEL000242	voltage-gated potassium channel
AAEL000243	leucine-rich transmembrane protein
AAEL000244	alpha(1,3)fucosyltransferase
AAEL000245	conserved hypothetical protein
AAEL000246	GPCR Frizzled/Smoothened Family
AAEL000247	hypothetical protein
AAEL000248	GTP binding protein
AAEL000249	mitochondrial carrier protein
AAEL000250	forkhead box protein (AaegFOXP)
AAEL000251	conserved hypothetical protein
AAEL000252	hypothetical protein
AAEL000253	trypsin, putative
AAEL000254	nuclear factor i
AAEL000255	conserved hypothetical protein
AAEL000256	ClassB Scavenger Receptor (CD36 domain).
AAEL000257	hypothetical protein
AAEL000258	conserved hypothetical protein
AAEL000259	Copper-Zinc(Cu-Zn) Superoxide Dismutase.
AAEL000260	conserved hypothetical protein
AAEL000261	hypothetical protein
AAEL000262	conserved hypothetical protein
AAEL000263	Zinc finger protein jing homolog 
AAEL000264	phopholipase d
AAEL000265	Protein crossbronx homolog 
AAEL000266	GPCR Orphan/Putative Class A Family
AAEL000267	conserved hypothetical protein
AAEL000268	lipase
AAEL000269	conserved hypothetical protein
AAEL000270	26S proteasome regulatory subunit 7, psd7
AAEL000271	gamma-glutamyl hydrolase, putative
AAEL000272	conserved hypothetical protein
AAEL000273	inositol triphosphate 3-kinase c
AAEL000274	Copper-Zinc(Cu-Zn) Superoxide Dismutase.
AAEL000275	hypothetical protein
AAEL000276	conserved hypothetical protein
AAEL000277	conserved hypothetical protein
AAEL000278	poly(p)/ATP NAD kinase
AAEL000279	N-formylmethionylaminoacyl-tRNA deformylase, putative
AAEL000280	hypothetical protein
AAEL000281	conserved hypothetical protein
AAEL000282	syntaxin, putative
AAEL000283	C-Type lectin (CTL) - mannose binding.
AAEL000284	conserved hypothetical protein
AAEL000285	conserved hypothetical protein
AAEL000286	conserved hypothetical protein
AAEL000287	hypothetical protein
AAEL000288	conserved hypothetical protein
AAEL000289	conserved hypothetical protein
AAEL000290	conserved hypothetical protein
AAEL000291	V-type proton ATPase 16 kDa proteolipid subunit (V-ATPase 16 kDa proteolipid subunit)(Vacuolar proton pump 16 kDa proteolipid subunit)(V-ATPase subunit C)
AAEL000292	conserved hypothetical protein
AAEL000293	ebna2 binding protein P100
AAEL000294	conserved hypothetical protein
AAEL000295	hypothetical protein
AAEL000296	conserved hypothetical protein
AAEL000297	mitochondrial ribosomal protein S25
AAEL000298	sodium/chloride dependent amino acid transporter
AAEL000299	hypothetical protein
AAEL000300	WD-repeat protein
AAEL000301	heat shock protein
AAEL000302	cysteine-rich venom protein, putative
AAEL000303	histone H2A, putative
AAEL000304	conserved hypothetical protein
AAEL000305	conserved hypothetical protein
AAEL000306	conserved hypothetical protein
AAEL000307	dynein heavy chain
AAEL000308	conserved hypothetical protein
AAEL000309	hypothetical protein
AAEL000310	hypothetical protein
AAEL000311	conserved hypothetical protein
AAEL000312	hypothetical protein
AAEL000313	conserved hypothetical protein
AAEL000314	malate dehydrogenase
AAEL000315	pigeon protein (linotte protein)
AAEL000316	hypothetical protein
AAEL000317	cysteine-rich venom protein, putative
AAEL000318	conserved hypothetical protein
AAEL000319	hypothetical protein
AAEL000320	cytochrome P450
AAEL000321	acetyl-coa synthetase
AAEL000322	hypothetical protein
AAEL000323	cysteine-rich venom protein, putative
AAEL000324	tyrosine-protein kinase drl
AAEL000325	cytochrome P450
AAEL000326	cytochrome P450
AAEL000327	Ecdysone-inducedprotein 78C, Nuclear receptor
AAEL000328	conserved hypothetical protein
AAEL000329	conserved hypothetical protein
AAEL000330	conserved hypothetical protein
AAEL000331	elongation factor ts
AAEL000332	conserved hypothetical protein
AAEL000333	cysteine-rich venom protein, putative
AAEL000334	villin
AAEL000335	lamin
AAEL000336	conserved hypothetical protein
AAEL000337	hypothetical protein
AAEL000338	cytochrome P450
AAEL000339	lim domain
AAEL000340	cytochrome P450
AAEL000341	basic helix-loop-helix protein
AAEL000342	peroxidasin
AAEL000343	serine/threonine-protein kinase vrk
AAEL000344	conserved hypothetical protein
AAEL000345	membrane associated guanylate kinase inverted 1, magi1
AAEL000346	spastin
AAEL000347	hypothetical protein
AAEL000348	conserved hypothetical protein
AAEL000349	conserved hypothetical protein
AAEL000350	conserved hypothetical protein
AAEL000351	conserved hypothetical protein
AAEL000352	hypothetical protein
AAEL000353	hypothetical protein
AAEL000354	dimeric dihydrodiol dehydrogenase
AAEL000356	cysteine-rich venom protein, putative
AAEL000357	cytochrome P450
AAEL000358	hypothetical protein
AAEL000359	ferritin-precursor, putative
AAEL000360	DNAJ homolog subfamily B member, putative
AAEL000361	cysteine-rich venom protein, putative
AAEL000362	conserved hypothetical protein
AAEL000363	cysteine-rich venom protein, putative
AAEL000364	glycine cleavage system h protein
AAEL000365	hypothetical protein
AAEL000366	hypothetical protein
AAEL000367	conserved hypothetical protein
AAEL000368	conserved hypothetical protein
AAEL000369	cysteine-rich venom protein, putative
AAEL000370	acyl-CoA oxidase
AAEL000371	hypothetical protein
AAEL000372	myo inositol monophosphatase
AAEL000373	conserved hypothetical protein
AAEL000374	cysteine-rich venom protein, putative
AAEL000375	cysteine-rich venom protein, putative
AAEL000376	heme peroxidase
AAEL000377	conserved hypothetical protein
AAEL000378	integrin-linked protein kinase 2 (ilk-2)
AAEL000379	cysteine-rich venom protein, putative
AAEL000380	conserved hypothetical protein
AAEL000381	syntrophin
AAEL000382	myosin motor, putative
AAEL000383	beta-1,3-galactosyltransferase brn
AAEL000384	vesicular acetylcholine transporter
AAEL000385	developmentally regulated RNA-binding protein
AAEL000386	phopsphatidylinositol 3-kinase, drosophila
AAEL000387	hypothetical protein
AAEL000388	isoleucyl tRNA synthetase
AAEL000389	brain chitinase and chia
AAEL000390	hypothetical protein
AAEL000391	odorant receptor
AAEL000392	Probable maltase Precursor (EC 3.2.1.20)
AAEL000393	suppressors of cytokine signalling
AAEL000394	U2 small nuclear ribonucleoprotein, putative
AAEL000395	Ultraspiracleisoform A, nuclear receptor
AAEL000396	hypothetical protein
AAEL000397	conserved hypothetical protein
AAEL000398	sidestep protein
AAEL000399	conserved hypothetical protein
AAEL000400	hypothetical protein
AAEL000401	conserved hypothetical protein
AAEL000402	conserved hypothetical protein
AAEL000403	conserved hypothetical protein
AAEL000404	DNA repair helicase rad3/xp-d
AAEL000405	odd Oz protein
AAEL000406	conserved hypothetical protein
AAEL000407	conserved hypothetical protein
AAEL000408	conserved hypothetical protein
AAEL000409	conserved hypothetical protein
AAEL000410	glycoprotein 25l
AAEL000411	conserved hypothetical protein
AAEL000412	conserved hypothetical protein
AAEL000413	conserved hypothetical protein
AAEL000414	six/sine homebox transcription factors
AAEL000415	AMP dependent coa ligase
AAEL000416	hypothetical protein
AAEL000417	monocarboxylate transporter
AAEL000418	conserved hypothetical protein
AAEL000419	conserved hypothetical protein
AAEL000420	cathepsin o
AAEL000421	protein farnesyltransferase alpha subunit/rab geranylgeranyl transferase alpha subunit
AAEL000422	U3 small nucleolar RNA-associated protein homolog, putative
AAEL000423	conserved hypothetical protein
AAEL000424	leucine aminopeptidase
AAEL000425	conserved hypothetical protein
AAEL000426	hypothetical protein
AAEL000427	conserved hypothetical protein
AAEL000428	Tryptophan 2,3-dioxygenase (TDO)(EC 1.13.11.11)(Tryptophan pyrrolase)(Tryptophanase)(Tryptophan oxygenase)(TRPO)(TO)(Tryptamin 2,3-dioxygenase)
AAEL000429	hypothetical protein
AAEL000430	hypothetical protein
AAEL000431	conserved hypothetical protein
AAEL000432	nucleosome assembly protein
AAEL000433	glypican
AAEL000434	lipid a export ATP-binding/permease protein msba
AAEL000435	THO complex, putative
AAEL000436	conserved hypothetical protein
AAEL000437	conserved hypothetical protein
AAEL000438	epoxide hydrolase
AAEL000439	hypothetical protein
AAEL000440	DNA repair/transcription protein met18/mms19
AAEL000441	hypothetical protein
AAEL000442	conserved hypothetical protein
AAEL000443	conserved hypothetical protein
AAEL000444	udp-glucose glycoprotein:glucosyltransferase
AAEL000445	conserved hypothetical protein
AAEL000446	tight junction protein
AAEL000447	V-1 protein, putative
AAEL000448	conserved hypothetical protein
AAEL000449	acidic ribosomal protein P1, putative
AAEL000450	ras GTPase activating protein
AAEL000451	beta1,4 mannosyltransferase
AAEL000452	histone acetyltransferase gcn5
AAEL000453	conserved hypothetical protein
AAEL000454	isocitrate dehydrogenase
AAEL000455	conserved hypothetical protein
AAEL000456	conserved hypothetical protein
AAEL000457	conserved hypothetical protein
AAEL000458	conserved hypothetical protein
AAEL000459	conserved hypothetical protein
AAEL000460	conserved hypothetical protein
AAEL000461	conserved hypothetical protein
AAEL000462	conserved hypothetical protein
AAEL000463	hypothetical protein
AAEL000464	conserved hypothetical protein
AAEL000465	conserved hypothetical protein
AAEL000466	voltage and ligand gated potassium channel
AAEL000467	mitochondrial ribosomal protein, L49, putative
AAEL000469	conserved hypothetical protein
AAEL000470	hypothetical protein
AAEL000471	monocarboxylate transporter
AAEL000472	zinc finger protein, putative
AAEL000473	hypothetical protein
AAEL000474	conserved hypothetical protein
AAEL000475	conserved hypothetical protein
AAEL000476	conserved hypothetical protein
AAEL000477	NADPH FAD oxidoreductase
AAEL000478	Sm protein G, putative
AAEL000479	conserved hypothetical protein
AAEL000480	hypothetical protein
AAEL000481	rab3 interacting molecule
AAEL000482	histone H3
AAEL000483	exostosin-2
AAEL000484	conserved hypothetical protein
AAEL000485	paramyosin, putative
AAEL000486	chaperonin
AAEL000487	hypothetical protein
AAEL000488	conserved hypothetical protein
AAEL000489	P21-activated kinase, pak
AAEL000490	histone H4
AAEL000491	hypothetical protein
AAEL000492	histone H3
AAEL000493	heparan sulphate 6-o-sulfotransferase
AAEL000494	histone H2A
AAEL000495	glutathione peroxidase
AAEL000496	conserved hypothetical protein
AAEL000497	histone H2A
AAEL000498	defective proboscis extension response, putative
AAEL000499	Spaetzle-likecytokine.
AAEL000500	conserved hypothetical protein
AAEL000501	histone H4
AAEL000502	NADPH FAD oxidoreductase
AAEL000503	hypothetical protein
AAEL000504	conserved hypothetical protein
AAEL000505	conserved hypothetical protein
AAEL000506	histone H3
AAEL000507	conserved hypothetical protein
AAEL000508	fibrinogen and fibronectin
AAEL000509	rho GTPase activating protein
AAEL000510	conserved hypothetical protein
AAEL000512	dynein heavy chain
AAEL000513	histone H4
AAEL000514	hypothetical protein
AAEL000515	juvenile hormone-inducible protein, putative
AAEL000516	juvenile hormone-inducible protein, putative
AAEL000517	histone H4
AAEL000518	histone H2A
AAEL000519	hypothetical protein
AAEL000520	conserved hypothetical protein
AAEL000521	hypothetical protein
AAEL000522	hypothetical protein
AAEL000523	ring finger protein
AAEL000524	regulating synaptic membrane exocytosis protein
AAEL000525	histone H2A
AAEL000526	conserved hypothetical protein
AAEL000527	polynucleotide kinase- 3'-phosphatase
AAEL000528	GPCR Orphan/Putative Class A Family
AAEL000529	conserved hypothetical protein
AAEL000531	conserved hypothetical protein
AAEL000532	conserved hypothetical protein
AAEL000533	C-Type lectin (CTL).
AAEL000534	pickpocket
AAEL000535	conserved hypothetical protein
AAEL000536	conserved hypothetical protein
AAEL000537	hypothetical protein
AAEL000538	conserved hypothetical protein
AAEL000539	hypothetical protein
AAEL000540	fasciclin, putative
AAEL000541	fasciclin, putative
AAEL000542	conserved hypothetical protein
AAEL000543	C-Type lectin (CTL) - mannose binding.
AAEL000544	hypothetical protein
AAEL000547	pickpocket
AAEL000549	fibulin 1 and
AAEL000550	werner helicase interacting protein
AAEL000551	hypothetical protein
AAEL000552	pickpocket
AAEL000553	tropomyosin, putative
AAEL000554	fasciclin, putative
AAEL000555	hypothetical protein
AAEL000556	C-Type lectin (CTL).
AAEL000557	conserved hypothetical protein
AAEL000558	neural stem cell-derived dendrite regulator
AAEL000559	glycosyl transferase
AAEL000560	hypothetical protein
AAEL000561	hypothetical protein
AAEL000562	conserved hypothetical protein
AAEL000563	C-Type lectin (CTL) - mannose binding.
AAEL000564	myotubularin
AAEL000565	hypothetical protein
AAEL000566	conserved hypothetical protein
AAEL000567	Facilitated trehalose transporter Tret1 
AAEL000568	26S proteasome non-ATPase regulatory subunit
AAEL000569	omega-crystallin, putative
AAEL000570	conserved hypothetical protein
AAEL000571	hypothetical protein
AAEL000572	AMP dependent ligase
AAEL000573	conserved hypothetical protein
AAEL000574	conserved hypothetical protein
AAEL000575	apyrase, putative
AAEL000576	lachesin, putative
AAEL000577	DNA binding protein elf-1
AAEL000578	conserved hypothetical protein
AAEL000579	conserved hypothetical protein
AAEL000580	conserved hypothetical protein
AAEL000581	conserved hypothetical protein
AAEL000582	pickpocket
AAEL000583	peroxisome assembly factor-2 (peroxisomal-type ATPase 1)
AAEL000584	sex-determining region y protein, sry
AAEL000585	hypothetical protein
AAEL000586	hypothetical protein
AAEL000587	hypothetical protein
AAEL000588	conserved hypothetical protein
AAEL000589	serine/threonine protein kinase
AAEL000590	Defenserepressor 1
AAEL000591	hypothetical protein
AAEL000592	hypothetical protein
AAEL000593	mitochondrial 18 kda protein (mtp18)
AAEL000594	conserved hypothetical protein
AAEL000595	beat protein
AAEL000596	myosin
AAEL000597	cadherin
AAEL000598	Cecropin,Anti-Microbial Peptide.
AAEL000599	wingless protein, putative
AAEL000600	Wnt10a protein, putative
AAEL000601	hypothetical protein
AAEL000602	GPCR Orphan/Putative Class B Family
AAEL000603	conserved hypothetical protein
AAEL000604	hypothetical protein
AAEL000605	rab geranylgeranyl transferase alpha subunit
AAEL000606	hypothetical protein
AAEL000607	hypothetical protein
AAEL000608	conserved hypothetical protein
AAEL000609	conserved hypothetical protein
AAEL000610	hypothetical protein
AAEL000611	Cecropin, Anti-Microbial Peptide.
AAEL000612	hypothetical protein
AAEL000613	odorant receptor
AAEL000614	odorant receptor 83c, putative
AAEL000615	hypothetical protein
AAEL000616	odorant receptor
AAEL000617	carbonic anhydrase
AAEL000618	wingless protein, putative
AAEL000619	conserved hypothetical protein
AAEL000620	hypothetical protein
AAEL000621	Cecropin,Anti-Microbial Peptide.
AAEL000622	conserved hypothetical protein
AAEL000623	conserved hypothetical protein
AAEL000624	rho-gap 92b
AAEL000625	Cecropin,Anti-Microbial Peptide.
AAEL000626	hypothetical protein
AAEL000627	Cecropin-A Precursor 
AAEL000628	odorant receptor
AAEL000629	adenylate kinase 3,
AAEL000630	cardioacceleratory peptide 2a, putative
AAEL000631	conserved hypothetical protein
AAEL000632	WNT4 precursor, putative
AAEL000633	Toll-likeReceptor.
AAEL000634	ceramide glucosyltransferase
AAEL000635	cop9 complex subunit 7a
AAEL000636	conserved hypothetical protein
AAEL000637	hypothetical protein
AAEL000638	hypothetical protein
AAEL000639	n-acetylgalactosaminyltransferase
AAEL000640	alanine-glyoxylate aminotransferase
AAEL000641	protein disulfide isomerase
AAEL000642	alpha-amylase
AAEL000643	zinc finger protein
AAEL000644	conserved hypothetical protein
AAEL000645	hypothetical protein
AAEL000646	n-acetylgalactosaminyltransferase
AAEL000647	predicted protein
AAEL000648	hypothetical protein
AAEL000649	conserved hypothetical protein
AAEL000650	conserved hypothetical protein
AAEL000651	alpha-amylase
AAEL000652	Gram-NegativeBinding Protein (GNBP), or Beta-1,3-Glucan Binding Protein (BGBP).
AAEL000653	zinc carboxypeptidase
AAEL000654	n-acetylgalactosaminyltransferase
AAEL000655	conserved hypothetical protein
AAEL000656	pangolin
AAEL000657	hypothetical protein
AAEL000658	conserved hypothetical protein
AAEL000659	exosome complex exonuclease rrp43 (ribosomal RNA processing protein 43)
AAEL000660	peptide methionine sulfoxide reductase, putative
AAEL000661	t-cell specific transcription factor, tcf
AAEL000662	conserved hypothetical protein
AAEL000663	conserved hypothetical protein
AAEL000664	hypothetical protein
AAEL000665	adult cuticle protein, putative
AAEL000666	pmp22 peroxisomal membrane protein, putative
AAEL000667	alpha-amylase
AAEL000668	conserved hypothetical protein
AAEL000669	conserved hypothetical protein
AAEL000670	methionine sulfoxide reductase
AAEL000671	Toll-likeReceptor.
AAEL000672	cyclin a
AAEL000673	conserved hypothetical protein
AAEL000674	RNA m5u methyltransferase
AAEL000675	hypothetical protein
AAEL000676	hypothetical protein
AAEL000677	DNA-directed RNA polymerase subunit rpb8
AAEL000678	alpha-amylase
AAEL000679	NEDD8, putative
AAEL000680	hypothetical protein
AAEL000681	hypothetical protein
AAEL000682	hypothetical protein
AAEL000683	conserved hypothetical protein
AAEL000684	conserved hypothetical protein
AAEL000685	conserved hypothetical protein
AAEL000686	lipase
AAEL000687	glucosyl/glucuronosyl transferases
AAEL000688	hyperpolarization activated cyclic nucleotide-gated potassium channel
AAEL000689	steroid dehydrogenase
AAEL000690	steroid dehydrogenase
AAEL000691	conserved hypothetical protein
AAEL000692	partner of sld5
AAEL000693	fkbp-rapamycin associated protein
AAEL000694	conserved hypothetical protein
AAEL000695	conserved hypothetical protein
AAEL000696	hypothetical protein
AAEL000697	hypothetical protein
AAEL000698	conserved hypothetical protein
AAEL000699	conserved hypothetical protein
AAEL000700	cadherin
AAEL000701	60S ribosomal protein L4
AAEL000702	hypothetical protein
AAEL000703	glycogen phosphorylase
AAEL000704	synaptotagmin,
AAEL000705	steroid dehydrogenase
AAEL000706	serine palmitoyltransferase
AAEL000707	cell cycle control protein cwf22
AAEL000708	hiv-1 rev binding protein
AAEL000709	TOLLpathway signalling.
AAEL000710	conserved hypothetical protein
AAEL000711	hypothetical protein
AAEL000712	hypothetical protein
AAEL000713	reticulon/nogo
AAEL000714	sodium-dependent excitatory amino acid transporter
AAEL000715	zinc finger protein
AAEL000716	chondroitin 4-sulfotransferase
AAEL000717	protocadherin
AAEL000718	virus-induced RNA, putative
AAEL000719	pak-interacting exchange factor, beta-pix/cool-1
AAEL000720	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)
AAEL000721	hypothetical protein
AAEL000722	conserved hypothetical protein
AAEL000723	hypothetical protein
AAEL000724	conserved hypothetical protein
AAEL000725	conserved hypothetical protein
AAEL000726	fibrinogen and fibronectin
AAEL000727	hypothetical protein
AAEL000728	ribosomal protein S6 kinase
AAEL000729	hypothetical protein
AAEL000730	conserved hypothetical protein
AAEL000731	hypothetical protein
AAEL000732	conserved hypothetical protein
AAEL000733	hydroxysteroid dehydrogenase
AAEL000734	hypothetical protein
AAEL000735	acyl-CoA oxidase
AAEL000736	conserved hypothetical protein
AAEL000737	rab6 GTPase activating protein, gapcena (rabgap1 protein)
AAEL000738	conserved hypothetical protein
AAEL000739	hypothetical protein
AAEL000740	conserved hypothetical protein
AAEL000741	ecdysone-induced protein 74EF (ETS transcription factor E74A)
AAEL000742	conserved hypothetical protein
AAEL000743	ribosomal protein S6 kinase
AAEL000744	troponin C
AAEL000745	hypothetical protein
